frame,id,raw_x,raw_y,comp_x,comp_y,dx,dy,dist
40,13,1226,484,960,478,266,6,266.07
40,16,864,850,569,892,295,-42,297.97
40,17,198,488,-189,498,387,-10,387.13
40,9,1596,592,1378,593,218,-1,218.00
41,1,1170,602,899,611,271,-9,271.15
41,2,1512,711,1286,727,226,-16,226.57
41,3,1043,789,765,821,278,-32,279.84
41,4,1253,612,993,621,260,-9,260.16
41,5,526,640,181,663,345,-23,345.77
41,6,719,489,391,492,328,-3,328.01
41,7,670,608,340,625,330,-17,330.44
41,8,1570,858,1357,890,213,-32,215.39
41,11,828,485,512,485,316,0,316.00
41,13,1224,483,955,477,269,6,269.07
41,16,864,850,567,892,297,-42,299.95
41,17,198,488,-191,498,389,-10,389.13
41,9,1595,592,1374,593,221,-1,221.00
42,1,1169,601,896,610,273,-9,273.15
42,2,1514,710,1286,726,228,-16,228.56
42,3,1044,790,764,822,280,-32,281.82
42,4,1252,610,989,618,263,-8,263.12
42,5,525,640,177,663,348,-23,348.76
42,6,720,488,389,491,331,-3,331.01
42,7,669,606,337,623,332,-17,332.43
42,8,1574,859,1360,891,214,-32,216.38
42,11,829,485,511,486,318,-1,318.00
42,13,1221,484,950,478,271,6,271.07
42,16,865,848,566,890,299,-42,301.94
42,17,198,487,-194,497,392,-10,392.13
42,9,1595,592,1372,593,223,-1,223.00
43,1,1169,599,894,608,275,-9,275.15
43,2,1515,710,1286,726,229,-16,229.56
43,3,1044,789,762,821,282,-32,283.81
43,4,1252,609,987,617,265,-8,265.12
43,5,524,638,174,661,350,-23,350.75
43,6,721,489,388,492,333,-3,333.01
43,7,669,603,335,620,334,-17,334.43
43,8,1578,859,1362,891,216,-32,218.36
43,11,831,483,511,483,320,0,320.00
43,13,1220,485,946,480,274,5,274.05
43,16,865,848,564,890,301,-42,303.92
43,17,198,487,-196,498,394,-11,394.15
43,9,1593,592,1368,593,225,-1,225.00
44,1,1168,597,891,605,277,-8,277.12
44,2,1516,709,1285,725,231,-16,231.55
44,3,1044,789,760,821,284,-32,285.80
44,4,1249,609,982,618,267,-9,267.15
44,5,523,638,171,661,352,-23,352.75
44,6,721,488,386,491,335,-3,335.01
44,7,669,601,333,618,336,-17,336.43
